POSICIÓN,SUELDO,CLASIFICACIÓN,PRESTACIONES DE LEY,PRESTACIONES SUPERIORES,EMPRESA,GIRO,TAMAÑO DE LA EMPRESA,CIUDAD O ZONA,ESTADO,REGIÓN,FUENTE,PT SEGURO DE VIDA,PT MEMEBRESIA DESC,PT TRANSPORTE,PT SGMM,PT FLEXIBILIDAD,PT VALES DESPENSA/GASOLINA,PLAN DE CRECIMIENTO,PT ECONOMICAS,PT GRATUITAS INST,OBSERVACIONES
VIRTUAL CONCIERGE,"$16,000.00",JUNIOR,SI,SI,MAJESTIC RESORTS,TURISMO,MEDIANA,CDMX,CDMX,BAJIO,ADZUNA,NO,NO,NO,NO,NO,NO,NO,NO,NO,
CONCIERGE ONLINE,"$15,000.00",JUNIOR,SI,SI,RESORT GLOBAL NETWORK,TURISMO,MEDIANA,CDMX,CDMX,BAJIO,ADZUNA,NO,NO,NO,NO,NO,NO,NO,NO,NO,
AUXILIAR CONTABLE,"$11,000.00",JUNIOR,SI,NO,ZINDEX,INMOBILIARIA,MEDIANA,MÉRIDA,YUCATÁN,PENINSULA,LAS VACANTES,NO,NO,NO,NO,NO,NO,NO,NO,NO,
AUXILIAR DE CONTABILIDAD,"$13,000.00",JUNIOR,SI,NO,TERMOPLÁSTICOS DEL CARIBE SA DE CV,CONSTRUCCIÓN,MEDIANA,MÉRIDA,YUCATÁN,PENINSULA,LIKEDIN,NO,NO,NO,NO,NO,NO,NO,NO,NO,
ANALISTA CONTABLE,"$10,200.00",JUNIOR,SI,NO,KAPTAL MX,SERVICIOS FINANCIEROS,MEDIANA,MÉRIDA,YUCATÁN,PENINSULA,OCC,NO,NO,NO,NO,NO,NO,NO,NO,NO,
CONTADOR JR,"$15,000.00",JUNIOR,SI,NO,IDTALENTO,CONSULTORÍA RECURSOS HUMANOS,MEDIANA,MÉRIDA,YUCATÁN,PENINSULA,SIMPLYHIRED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
ASESOR DE DISEÑO DE INTERIORES,"$14,500.00",JUNIOR,SI,SI,TALENT SERVICES,CONSULTORÍA RECURSOS HUMANOS,MEDIANA,MÉRIDA,YUCATÁN,PENINSULA,INDEED,NO,NO,NO,NO,NO,NO,NO,SI,NO,"COMISIONES NO TOPADAS. PRESTACIONES DE LEY. DISPONIBILIDAD DE HORARIO PARA LABORAR 5 DÍAS, DESCANSO ENTRE SEMANA. TURNO DE 8 HORAS."
ASESOR DE VENTA - DISEÑADORA DE INTERIORES,"$16,000.00",JUNIOR,SI,SI,TIERRA NATIVA,COMERCIO DE PRODUCTOS,MEDIANA,MÉRIDA,YUCATÁN,PENINSULA,COMPUTRABAJO,NO,NO,NO,NO,NO,NO,NO,SI,NO,PRESTACIONES DE LEY. COMISIONES
DISEÑADOR DE INTERIORES,"$16,000.00",JUNIOR,SI,SI,BLISS MUEBLES,INMOBILIARIA,MEDIANA,MÉRIDA,YUCATÁN,PENINSULA,SIMPLYHIRED,NO,NO,NO,NO,NO,NO,NO,SI,NO,*BONO MENSUAL
ARQ. / LIC. DISEÑO DE INTERIORES CON EXPERIENCIA,"$13,000.00",JUNIOR,SI,SI,IDTALENTO,CONSULTORÍA RECURSOS HUMANOS,MEDIANA,MÉRIDA,YUCATÁN,PENINSULA,BEBEE,NO,NO,SI,NO,SI,NO,NO,SI,NO,"*COMISIONES DEL 1.5 % SOBRE LO COBRADO
• COMISIONES NO TOPADAS DE $30,000 EN ADELANTE
• PRESTACIONES DE LEY
• VEHÍCULO UTILITARIO
*SÁBADOS MEDIO DÍA"
DIRECTOR DE TESORERÍA,"$125,000.00",DIRECTIVO,SI,SI,CONFIDENCIAL (EMPRESA ASEGURADORA),SECTOR ASEGURADOR,GRANDE,CDMX,CDMX,BAJIO,MICHAEL PAGE,SI,NO,NO,SI,NO,SI,NO,SI,NO,"SEGURO DE GASTOS MÉDICOS MAYORES
SEGURO DE VIDA
AGUINALDO 30 DÍAS
VALES DE DESPENSA
BONO ANUAL"
DIRECTOR PLANEACION FINANCIERA,"$110,000.00",DIRECTIVO,SI,SI,TALENT STRATEGIST,CONSULTORÍA,GRANDE,SAN NICOLÁS TLAZALA,EDOMEX,BAJIO,INDEED,SI,NO,NO,SI,NO,NO,SI,SI,NO,"SEGURO DE GASTOS MÉDICOS MAYORES
SEGURO DE VIDA
BONO PRODUCTIVIDAD"
DIRECTOR DE TESORERÍA,"$145,000.00",DIRECTIVO,SI,NO,ALPHACREDIT MÉXICO,SERVICIOS FINANCIEROS,GRANDE,CDMX,CDMX,BAJIO,GLASSDOOR,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO DESCRITOS
DIRECTOR,"$143,000.00",DIRECTIVO,SI,NO,SANTANDER,SERVICIOS FINANCIEROS,GRANDE,CDMX,CDMX,BAJIO,GLASSDOOR,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO DESCRITOS
CONTADOR,"$30,000.00",JUNIOR,SI,NO,MI ABUELITO TE PRESTA,SERVICIOS FINANCIEROS,MEDIANA,GUADALUPE,NUEVO LEÓN,NORESTE,OCC,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE CONTABILIDAD,"$31,000.00",GERENCIAL ,SI,NO,BANORTE,SERVICIOS FINANCIEROS,MEDIANA,MONTERREY,NUEVO LEÓN,NORESTE,OCC,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE CONTABILIDAD,"$35,000.00",GERENCIAL ,SI,NO,MMM HUMAN CAPITAL,CONSULTORÍA RECURSOS HUMANOS,MEDIANA,MONTERREY,NUEVO LEÓN,NORESTE,KIT EMPLEO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE CONTABLE ADMINISTRATIVO,"$35,000.00",GERENCIAL ,SI,NO,QCH S A P I DE CV,QCH S A P I DE CV,MEDIANA,MONTERREY,NUEVO LEÓN,NORESTE,KIT EMPLEO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE CONTABILIDAD Y FINANZAS,"$32,500.00",GERENCIAL ,SI,NO,GHAR II,CONSULTORÍA,MEDIANA,SAN PEDRO GARZA GARCÍA,NUEVO LEÓN,NORESTE,INDEED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
ANALISTA DE LICITACIONES,"$20,000.00",JUNIOR,SI,NO,ALIA,CONSULTORÍA RECURSOS HUMANOS,MEDIANA,,EDOMEX,BAJIO,OCC,NO,NO,NO,NO,NO,NO,NO,NO,NO,
ANALISTA DE LICITACIONES,"$15,000.00",JUNIOR,SI,NO,INTEGRADORES EN TICS S.A DE C.V,CONSULTORÍA TI,MEDIANA,CDMX,CDMX,BAJIO,TALENTECA,NO,NO,NO,NO,NO,NO,NO,NO,NO,
ANALISTA DE LICITACIONES,"$15,000.00",JUNIOR,SI,NO,CYS AMD,TELECOMUNICACIONES,MEDIANA,CDMX,CDMX,BAJIO,KITEMPLEO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
ANALISTA DE LICITACIONES Y CONTRATOS,"$20,000.00",JUNIOR,SI,NO,GRUPO CB,,MEDIANA,CDMX,CDMX,BAJIO,COMPUTRABAJO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
ANALISTA DE LICITACIONES,"$22,000.00",JUNIOR,SI,NO,FARMACOS DAROVI SA DE CV,COMERCIALIZACIÓN MEDICAMENTOS,MEDIANA,CDMX,CDMX,BAJIO,GLASSDOOR,NO,NO,NO,NO,NO,NO,NO,NO,NO,
AUXILIAR ADMINISTRATIVO,"$8,000.00",JUNIOR,SI,NO,GRUPO ARERO S.A. DE C.V.,COMERCIALIZACIÓN PRODUCTOS,MEDIANA,PUEBLA,PUEBLA,SURESTE,INDEED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
AUXILIAR ADMINISTRATIVO,"$9,000.00",JUNIOR,SI,NO,SUPERTRACK S.A DE C.V,TRANSPORTE,MEDIANA,PUEBLA,PUEBLA,SURESTE,BEBEE,NO,NO,NO,NO,NO,NO,NO,NO,NO,
AUXILIAR ADMINISTRATIVO,"$8,000.00",JUNIOR,SI,NO,AGUA DE PUEBLA PARA TODOS,SERVICIO DE AGUA,MEDIANA,PUEBLA,PUEBLA,SURESTE,BEBEE,NO,NO,NO,NO,NO,NO,NO,NO,NO,
AUXILIAR ADMINISTRATIVO,"$10,000.00",JUNIOR,SI,NO,TOP MANAGEMENT,CONSULTORÍA RECURSOS HUMANOS,MEDIANA,PUEBLA,PUEBLA,SURESTE,OCC,NO,NO,NO,NO,NO,NO,NO,NO,NO,
AUXILIAR ADMINISTRATIVO,"$8,500.00",JUNIOR,SI,NO,COMERCIALIZADORA RAGÓN,COMERCIALIZACIÓN PRODUCTOS,MEDIANA,PUEBLA,PUEBLA,SURESTE,BEBEE,NO,NO,NO,NO,NO,NO,NO,NO,NO,
AUXILIAR CONTABLE,"$9,000.00",JUNIOR,SI,NO,DESPACHO RUIZ Y ASOCIADOS,CONSULTORÍA LEGAL,MEDIANA,PUEBLA,PUEBLA,SURESTE,COMPUTRABAJO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
CONTADOR AUXILIAR,"$9,000.00",JUNIOR,SI,NO,CONSULTORIA LEGAL DE NEGOCIOS,CONSULTORÍA LEGAL,MEDIANA,PUEBLA,PUEBLA,SURESTE,COMPUTRABAJO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
AUXILIAR CONTABLE FISCAL,"$10,000.00",JUNIOR,SI,NO,EL&GE COLSULTORES ESPECIALIZADOS CONTABLE TRIBUTARIOS Y DE GESTIÓN,SERVICIOS CONTABLES,MEDIANA,PUEBLA,PUEBLA,SURESTE,INDEED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
AUXILIAR DE CONTABILIDAD,"$11,000.00",JUNIOR,SI,NO,CONSULTORES Y ASOCIADOS RH,CONSULTORÍA RECURSOS HUMANOS,MEDIANA,HUEJOTZINGO,PUEBLA,SURESTE,INDEED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
AUXILIAR DE OPERACIONES LOGISTICAS,"$18,000.00",JUNIOR,SI,NO,FEMSA,INDUSTRIA BEBIDAS / DISTRIBUCIÓN,MEDIANA,VILLAHERMOSA,TABASCO,SURESTE,INDEED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
AUXILIAR DE LOGÍSTICA,"$15,500.00",JUNIOR,SI,NO,CONFIDENCIAL,,MEDIANA,VILLAHERMOSA,TABASCO,SURESTE,OCC,NO,NO,NO,NO,NO,NO,NO,NO,NO,
AUXILIAR DE LOGÍSTICA,"$14,800.00",JUNIOR,SI,NO,AUXILIAR DE LOGISTICA,LOGÍSTICA,MEDIANA,VILLAHERMOSA,TABASCO,SURESTE,GLASSDOOR,NO,NO,NO,NO,NO,NO,NO,NO,NO,
AUXILIAR DE OPERACIONES LOGISTICAS,"$13,000.00",JUNIOR,SI,NO,FEMSA,INDUSTRIA BEBIDAS / DISTRIBUCIÓN,MEDIANA,VILLAHERMOSA,TABASCO,SURESTE,GLASSDOOR,NO,NO,NO,NO,NO,NO,NO,NO,NO,
AUXILIAR CONTABLE RECIÉN EGRESADO,"$8,000.00",JUNIOR,SI,NO,TRANSPORTES MARVA,TRANSPORTE,MEDIANA,PUEBLA,PUEBLA,SURESTE,INDEED,NO,NO,NO,NO,NO,NO,NO,NO,NO,OPCIÓN A CONTRATO INDETERMINADO
PRACTICANTE DE CONTABILIDAD,"$9,000.00",JUNIOR,SI,NO,SEGUINTRA MEXICO,SEGURIDAD,GRANDE,PUEBLA,PUEBLA,SURESTE,INDEED,NO,NO,NO,NO,NO,NO,SI,NO,NO,"CRECIMIENTO, ESTUDIANTE"
CAJERO,"$10,394.00",JUNIOR,SI,NO,FINANCIERA INDEPENDENCIA SAB SA DE CV SOFOM,SERVICIOS FINANCIEROS,GRANDE,CANCÚN,QUINTANA ROO,PENINSULA,SIMPLYHIRED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
CAJERO,"$9,622.00",JUNIOR,SI,NO,BANBANJIO,SERVICIOS FINANCIEROS,GRANDE,CANCÚN,QUINTANA ROO,PENINSULA,KITEMPLEO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
CAJERO,"$11,024.00",JUNIOR,SI,NO,BANORTE,SERVICIOS FINANCIEROS,GRANDE,CANCÚN,QUINTANA ROO,PENINSULA,COMPUTRABAJO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
CAJERO BANCARIO,"$13,394.00",JUNIOR,SI,NO,BANCOMER,SERVICIOS FINANCIEROS,GRANDE,CANCÚN,QUINTANA ROO,PENINSULA,SIMPLYHIRED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
COMMUNITY MANAGER JR,"$13,000.00",JUNIOR,SI,NO,ASPID,SALUD Y BELLEZA,MEDIANA,CDMX,CDMX,BAJIO,OCC,NO,NO,NO,NO,NO,NO,NO,NO,NO,
COMMUNITY MANAGER,"$12,500.00",JUNIOR,SI,NO,DM MARKETING AGENCY,PUBLICIDAD Y MARKETING,MEDIANA,CDMX,CDMX,BAJIO,KIT EMPLEO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
COMMUNITY MANAGER,"$13,500.00",JUNIOR,SI,NO,EVOLVE INTERACTIVE SA DE CV,PUBLICIDAD Y MARKETING,MEDIANA,BENITO JUAREZ,CDMX,BAJIO,COMPUTRABAJO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
COMMUNITY MANAGER,"$12,500.00",JUNIOR,SI,NO,CONFIDENCIAL,SIN ESPECIFICAR,MEDIANA,CDMX,CDMX,BAJIO,GLASSDOOR,NO,NO,NO,NO,NO,NO,NO,NO,NO,
COMMUNITY MANAGER JR,"$11,000.00",JUNIOR,SI,NO,GRUPO MEDIOS,TELECOMUNICACIONES,MEDIANA,CDMX,CDMX,BAJIO,TALENTECA,NO,NO,NO,NO,NO,NO,NO,NO,NO,
CONTADOR GENERAL,"$19,200.00",JUNIOR,SI,NO,UR GLOBAL MEXICO S DE RL DE CV,CONSULTORÍA,MEDIANA,CDMX,CDMX,BAJIO,COMPUTRABAJO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
CONTADOR,"$20,000.00",JUNIOR,SI,NO,CONFIDENCIAL,CONSTRUCCIÓN,MEDIANA,CDMX,CDMX,BAJIO,COMPUTRABAJO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
CONTADOR GENERAL,"$20,000.00",JUNIOR,SI,NO,OM HUMAN FIRST,CONSTRUCCIÓN,MEDIANA,CDMX,CDMX,BAJIO,GLASSDOOR,NO,NO,NO,NO,NO,NO,NO,NO,NO,
CONTADOR GENERAL,"$22,000.00",JUNIOR,SI,NO,ICA INGENIEROS CIVILES ASOCIADOS,CONSTRUCCIÓN,MEDIANA,CDMX,CDMX,BAJIO,INDEED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
CONTADOR DE OBRA,"$21,000.00",JUNIOR,SI,NO,REGIOMONTANA DE CONSTRUCCIÓN Y SERVICIOS,CONSTRUCCIÓN,MEDIANA,CDMX,CDMX,BAJIO,GLASSDOOR,NO,NO,NO,NO,NO,NO,NO,NO,NO,
CONTADOR GENERAL,"$22,200.00",JUNIOR,SI,NO,"GRUPO CONSTRUCTOR DIAMANTE, S.A. DE C.V.",CONSTRUCCIÓN,MEDIANA,CDMX,CDMX,BAJIO,OCC,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE RH,"$40,000.00",GERENCIAL ,SI,NO,THE BRICK SOLUCIONES,CONSULTORÍA RECURSOS HUMANOS,GRANDE,VILLAHERMOSA,TABASCO,SURESTE,INDEED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
COORDINADOR DE RECURSOS HUMANOS,"$35,000.00",SENIOR,SI,NO,MEXOIL,MAQUINARIA,GRANDE,CÁRDENAS,TABASCO,SURESTE,SIMPLYHIRED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE RECURSOS HUMANOS,"$35,000.00",GERENCIAL ,SI,NO,DYR MULTISOLUCIONES EN CAPITAL HUMANO,CONSULTORÍA RECURSOS HUMANOS,GRANDE,COMALCALCO,TABASCO,SURESTE,BEBEE,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE REGIONAL DE RH,"$30,000.00",SENIOR,SI,NO,SEDEGRAL SEGURIDAD PRIVADA,SEGURIDAD,GRANDE,VILLAHERMOSA,TABASCO,SURESTE,OCC,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR DE VENTAS NACIONALES,"$30,000.00",DIRECTIVO,SI,SI,LEVY HOLDING,INMOBILIARIO,GRANDE,TUXTLA,CHIAPAS,SUROESTE,KITEMPLEO,NO,NO,NO,NO,NO,NO,NO,SI,NO,PS. COMISIONES
DIRECTOR DE VENTAS,"$45,000.00",DIRECTIVO,SI,SI,INMOBILIARIA ESPACIOS,INMOBILIARIO,GRANDE,TUXTLA,CHIAPAS,SUROESTE,KITEMPLEO,NO,NO,NO,NO,NO,NO,NO,SI,NO,COMISIONES. PS
COORDINADOR DE VENTAS,"$40,000.00",SENIOR,SI,SI,RECURSOS HUMANOS SA,INMOBILIARIO,GRANDE,TUXTLA,CHIAPAS,SUROESTE,ADZUNA,NO,NO,NO,NO,NO,NO,NO,SI,NO,"COMISIONES, PS"
GERENTE COMERCIAL,"$30,000.00",GERENCIAL ,SI,SI,CONFIDENCIAL,INMOBILIARIO,GRANDE,VILLAHERMOSA,TABASCO,SURESTE,TALENT,NO,NO,NO,NO,NO,NO,NO,SI,NO,COMISIONES. SALARIO A NEGOCIAR
GERENTE COMERCIAL,"$35,000.00",GERENCIAL ,SI,SI,MERAKI ASESORES PATRIMONIALES S.C,SECTOR ASEGURADOR,GRANDE,VILLAHERMOSA,TABASCO,SURESTE,OCC,NO,NO,NO,NO,NO,NO,NO,SI,NO,PL Y PS. COMISIONES
DISEÑADOR GRÁFICO ESPECIALIZADO EN BRANDING,"$9,000.00",JUNIOR,SI,NO,CONEKTICA,PUBLICIDAD Y MARKETING,MEDIANA,PUEBLA,PUEBLA,SURESTE,INDEED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DISEÑADOR GRAFICO,"$11,000.00",JUNIOR,SI,NO,HUMAN ACCESS,CONSULTORÍA RECURSOS HUMANOS,MEDIANA,PUEBLA,PUEBLA,SURESTE,MIEMPLEO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
EJECUTIVO DE DISEÑO GRÁFICO Y COMUNICACIÓN,"$10,000.00",JUNIOR,SI,NO,ERGOSOLAR MEXICO SA DE CV,SECTOR ENERGÉTICO,MEDIANA,PUEBLA,PUEBLA,SURESTE,OCC,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DISEÑADOR/A GRÁFICO EN AGENCIA DE MKT DIGITAL,"$9,000.00",JUNIOR,SI,NO,MARKETHINK360,PUBLICIDAD Y MARKETING,MEDIANA,PUEBLA,PUEBLA,SURESTE,COMPUTRABAJO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DISEÑADOR GRÁFICO,"$8,000.00",JUNIOR,SI,NO,FASTNET INTERNET,TELECOMUNICACIONES,MEDIANA,VILLAHERMOSA,TABASCO,SURESTE,GLASSDOOR,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DISEÑADOR GRÁFICO JR.,"$8,500.00",JUNIOR,SI,NO,CORPORATIVO SI+RH,CONSULTORÍA,MEDIANA,VILLAHERMOSA,TABASCO,SURESTE,GLASSDOOR,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DISEÑADOR GRÁFICO,"$8,300.00",JUNIOR,SI,NO,EQUIPOS MEDICOS DEL SUR,COMERCIALIZADORA EQUIPOS MÉDICOS,MEDIANA,VILLAHERMOSA,TABASCO,SURESTE,COMPUTRABAJO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DISEÑADOR GRÁFICO,"$9,000.00",JUNIOR,SI,NO,RC CORPORATIVO,CONSULTORÍA,MEDIANA,VILLAHERMOSA,TABASCO,SURESTE,INDEED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DISEÑADOR GRÁFICO,"$13,000.00",JUNIOR,SI,NO,PUERTO MAYA CANCÚN,TURISMO,MEDIANA,CANCUN,QUINTANA ROO,PENINSULA,INDEED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DISEÑADOR GRÁFICO JR.,"$10,000.00",JUNIOR,SI,NO,JAKO HERRAJES,COMERCIALIZADORA,MEDIANA,CANCUN,QUINTANA ROO,PENINSULA,SIMPLYHIRED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DISEÑADOR/EDITOR MULTIMEDIA,"$13,000.00",JUNIOR,SI,NO,OPERADORA ANDERSON'S,SERVICIOS DE ALIMENTOS,MEDIANA,CANCUN,QUINTANA ROO,PENINSULA,COMPUTRABAJO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DISEÑADOR GRÁFICO,"$12,000.00",JUNIOR,SI,NO,WISPHUB,SERVICIOS CONTABLES,MEDIANA,CANCUN,QUINTANA ROO,PENINSULA,INDEED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
ANALISTA DE LICITACIONES,"$18,000.00",JUNIOR,SI,NO,BESTLABOR,CONSULTORÍA,MEDIANA,CDMX,CDMX,BAJIO,INDEED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
INGENIERO CIVIL O ARQUITECTO / AUDITOR Y ELABORAC. DE LICITACIONES PÚBLICAS,"$20,000.00",JUNIOR,SI,NO,"SABINFOSISTEM, S.A. DE C.V.",CONSULTORÍA,MEDIANA,CDMX,CDMX,BAJIO,INDEED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
LICITACIONES,"$18,000.00",JUNIOR,SI,NO,GRUPO EMPRESARIAL MAREMI,CONSULTORÍA,MEDIANA,CDMX,CDMX,BAJIO,INDEED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
ESPECIALISTA DE LICITACIONES DE OBRA PÚBLICA,"$25,000.00",JUNIOR,SI,NO,SETALENT,CONSULTORÍA,MEDIANA,CDMX,CDMX,BAJIO,INDEED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
ANALISTA DE LICITACIONES,"$16,000.00",JUNIOR,SI,NO,CONFIDENCIAL - CONSTRUCCIÓN,CONSTRUCCIÓN,MEDIANA,CDMX,CDMX,BAJIO,INDEED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
ANALISTA DE BÓVEDA BANCARIA,"$14,000.00",JUNIOR,SI,SI,BBVA BANK,SERVICIOS FINANCIEROS,GRANDE,XICO,VERACRUZ,SURESTE,KITEMPLEO,SI,SI,NO,NO,SI,,SI,NO,NO,"- LUNES A VIERNES
- PRESTACIONES BANCARIAS SUPERIORES A LAS DE LA LEY.
- OPORTUNIDAD DE CRECIMIENTO DENTRO DEL GRUPO
- SEGURO DE VIDA
- VACACIONES SUPERIORES.
- PLAN DE JUBILACIÓN.
- PROMOCIONES EXCLUSIVAS PARA EMPLEADOS.
- PRÉSTAMOS EXCLUSIVOS PARA EMPLEADOS.
- MEMBRESÍA A DEPORTIVOS.
- PARTICIPACIÓN EN LOS JUEGOS BANCARIOS."
ENCARGADO DE BOVEDA,"$14,000.00",JUNIOR,SI,SI,TRASLADO DE VALORES TECNOVAL,SERVICIOS FINANCIEROS,GRANDE,MÉRIDA,YUCATÁN,PENINSULA,INDEED,NO,NO,NO,NO,NO,SI,SI,SI,SI,"SALARIO SEMANAL, PAGO DE TIEMPO EXTRA, VALES DE DESPENSA, SEGUROS DE VIDA, BONOS DE PRODUCTIVIDAD, FONDO DE AHORRO, CAJA DE AHORRO, APOYO ESCOLAR PARA FAMILIARES, PAGO DE AGUINALDO, PAGO DE UTILIDADES, PAGO DE PRIMA VACACIONAL, CAPACITACIÓN PAGADA, VESTIDORES Y REGADERAS, OPORTUNIDADES DE CRECIMIENTO Y DESARROLLO Y CONTRATACIÓN DIRECTA POR LA EMPRESA Y GENERAS ANTIGÜEDAD"
AUXILIAR DE BOVEDA,"$13,000.00",JUNIOR,SI,NO,GRUMER,SERVICIOS FINANCIEROS,GRANDE,CANCÚN,QUINTANA ROO,PENINSULA,GLASSDOOR,NO,NO,NO,NO,NO,NO,NO,NO,NO,
EJECUTIVO DE BOVEDA,"$17,000.00",JUNIOR,SI,NO,CONFIDENCIAL (VALORES),SERVICIOS FINANCIEROS,GRANDE,CANCÚN,QUINTANA ROO,PENINSULA,OCC,NO,NO,NO,NO,NO,NO,NO,NO,NO,
COORDINADOR DE SOPORTE IT,"$31,000.00",SENIOR,SI,NO,SODEXO,SERVICIOS FINANCIEROS,MEDIANA,CDMX,CDMX,BAJIO,GLASSDOOR,NO,NO,NO,NO,NO,NO,NO,NO,NO,
ANALISTA DE INFRAESTRUCTURA,"$29,000.00",JUNIOR,SI,NO,CITIBANAMEX,SERVICIOS FINANCIEROS,MEDIANA,CDMX,CDMX,BAJIO,GLASSDOOR,NO,NO,NO,NO,NO,NO,NO,NO,NO,
INGENIERO DE INFRAETRUCTURA TI,"$25,000.00",JUNIOR,SI,NO,HERAS GARCÍA SOTO Y ASOCIADOS - CONSULTORÍA,CONSULTORÍA,MEDIANA,MIGUEL HIDALGO,CDMX,BAJIO,INDEED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
ANALISTA DE SEGURIDAD INFORMATICA,"$27,000.00",JUNIOR,SI,NO,EGLOBAL - FINANZAS,TELECOMUNICACIONES,MEDIANA,CUAUHTEMOC,CDMX,BAJIO,INDEED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
INGENIERO DE INFRAESTRUCTURA,"$33,000.00",JUNIOR,SI,NO,BANCO DEL BAJIO,SERVICIOS FINANCIEROS,MEDIANA,CDMX,CDMX,BAJIO,GLASSDOOR,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE INFRAESTRUCTURA TECNOLÓGICA,"$32,000.00",SENIOR,SI,NO,KONDINERO,SERVICIOS FINANCIEROS,MEDIANA,CDMX,CDMX,BAJIO,GLASSDOOR,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE ADMINISTRACIÓN Y FINANZAS,"$30,000.00",GERENCIAL ,SI,NO,ST GESTIÓN DE TALENTO HUMANO,CONSULTORÍA RECURSOS HUMANOS,MEDIANA,BOCA DEL RIO,VERACRUZ,SURESTE,KITEMPLEO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE ADMINISTRACIÓN Y FINANZAS,"$45,000.00",GERENCIAL ,SI,NO,CATORCE DÍAS,PUBLICIDAD Y MARKETING,MEDIANA,BOCA DEL RIO,VERACRUZ,SURESTE,JOBRAPIDO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE ADMINISTRACIÓN Y FINANZAS,"$35,000.00",GERENCIAL ,SI,NO,DISEÑO E INGENIERIA PILOT,CONSTRUCCIÓN,MEDIANA,MÉRIDA,YUCATÁN,PENINSULA,OCC,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE ADMINISTRACIÓN Y FINANZAS,"$30,000.00",GERENCIAL ,SI,NO,ENERGYZA DE MÉXICO S. A DE C. V,SECTOR ENERGÉTICO,MEDIANA,MÉRIDA,YUCATÁN,PENINSULA,,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE CONTABILIDAD,"$45,000.00",GERENCIAL ,SI,NO,212 EXECUTIVE SEARCH & CONSULTING,CONSULTORÍA,GRANDE,CDMX,CDMX,BAJIO,COMPUTRABAJO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE CONTABILIDAD,"$40,000.00",GERENCIAL ,SI,NO,CONFIDENCIAL,SIN ESPECIFICAR,GRANDE,CDMX,CDMX,BAJIO,GLASSDOOR,NO,NO,NO,NO,NO,NO,NO,NO,NO,
